Counter_Location_Description,Latitude,Longitude,Log_Timstamp,Total_Pedestrian_Count,Total_Cyclist_Count
LRT SUP East of 92 Street,53.55645536,-113.4749465,17-Dec-19,122,168
102 Avenue E of 105 Street,53.54297512,-113.5003897,4-Mar-19,0,52
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,12-Dec-19,51,134
106 Street N of 76 Avenue NB,53.51304,-113.50381,23-Jul-20,0,186
76 Avenue W of 106 Street EB,53.51221,-113.50486,21-May-20,0,18
76 Avenue W of 106 Street EB,53.51221,-113.50486,1-May-21,0,104
103 Street N of 100 Avenue,53.53912407,-113.4975386,25-Nov-18,0,19
High Level Bridge East,53.53249552,-113.5095117,17-Aug-20,782,375
105 Avenue W of 101 Street,53.54767204,-113.4945246,8-Aug-21,98,44
102A Avenue W of 96 Street,53.54541049,-113.4834711,21-Jan-20,0,90
127 Street N of 107 Avenue,53.55149,-113.54119,1-Jun-22,0,326
76 Avenue W of 106 Street EB,53.51221,-113.50486,25-Jun-19,0,116
83 Avenue W of 99 Street,53.51907,-113.48717,13-Jul-21,0,1223
96 Street S of Jasper Ave,53.54312877,-113.4819533,15-Mar-20,0,1
East Trails,53.604,-113.31977,29-Oct-22,20,51
Gold Bar Trail,53.554767,-113.401458,31-Jan-22,48,9
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,28-Feb-22,54,0
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,6-Aug-22,266,0
High Level Bridge East,53.53249552,-113.5095117,20-Feb-23,106,12
Rossdale SUP,53.52781,-113.49539,5-Jan-23,393,19
96 Street S of Jasper Ave,53.54312877,-113.4819533,12-Dec-18,0,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,16-Oct-21,0,118
106 Street N of 76 Avenue SB,53.51306,-113.50389,11-Jul-20,0,393
102A Avenue W of 96 Street,53.54541049,-113.4834711,23-Oct-18,0,205
100 Avenue E of 107 Street,53.53885088,-113.5035117,8-Sep-19,0,128
102 Avenue E of 121 Street,53.54308,-113.52949,7-Sep-20,0,335
Capilano SUP,53.560733,-113.424422,9-Jul-22,1838,364
Hermitage South,53.578605,-113.37223,22-Jan-22,277,0
106 Street S of 104 Avenue,53.54519216,-113.5030336,30-Jan-19,0,27
High Level Bridge East,53.53249552,-113.5095117,19-Aug-20,760,489
103A Avenue W of 96 Street,53.5473265,-113.4842106,19-Jun-21,366,104
Emily Murphy,53.532383,-113.531662,2-Mar-22,95,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,6-Apr-20,0,28
83 Avenue W 106 Street,53.51911,-113.50441,1-Apr-22,0,450
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,23-Jul-21,403,260
76 Avenue W of 106 Street EB,53.51221,-113.50486,22-Mar-20,0,13
Wedgewood,53.472733,-113.641533,1-Oct-22,394,110
Whitemud Ravine Boardwalk,53.476847,-113.555595,5-Jul-21,665,0
106 Street N of 76 Avenue NB,53.51304,-113.50381,8-Jul-22,0,261
102A Avenue W of 96 Street,53.54541049,-113.4834711,17-Jan-19,0,53
Wedgewood,53.472733,-113.641533,11-Aug-22,187,32
103A Avenue W of 96 Street,53.5473265,-113.4842106,14-Aug-19,1354,200
103 Street N of 102 Avenue,53.54360589,-113.4974978,19-Mar-21,0,93
Railtown Park SUP,53.5430264,-113.5102586,28-Jun-19,1187,636
106 Street S of 104 Avenue,53.54519216,-113.5030336,28-Sep-21,0,87
100 Avenue E of 107 Street,53.53885088,-113.5035117,9-Apr-20,0,71
Whitemud Ravine Boardwalk,53.476847,-113.555595,15-Apr-21,569,0
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,12-Sep-20,382,106
106 Street N of 76 Avenue NB,53.51304,-113.50381,7-Feb-20,0,40
103 Street N of 100 Avenue,53.53912407,-113.4975386,7-Aug-19,0,286
Rossdale SUP,53.52781,-113.49539,4-Aug-19,395,677
105 Avenue W of 101 Street,53.54767204,-113.4945246,5-Aug-21,122,88
102 Avenue E of 121 Street,53.54308,-113.52949,13-May-21,0,850
105 Avenue W of 101 Street,53.54767204,-113.4945246,27-Apr-19,85,15
106 Street N of 76 Avenue NB,53.51304,-113.50381,26-Oct-21,0,161
96 Street S of Jasper Ave,53.54312877,-113.4819533,17-Aug-22,0,51
99 Street N of 102A Avenue,53.54537031,-113.4893957,31-May-22,0,13
76 Avenue W of 106 Street EB,53.51221,-113.50486,12-Jul-22,0,134
102 Avenue E of 105 Street,53.54297512,-113.5003897,16-Feb-19,0,41
76 Avenue W of 106 Street EB,53.51221,-113.50486,18-May-19,0,134
Whitemud Ravine Boardwalk,53.476847,-113.555595,5-Oct-21,428,0
102A Avenue W of 96 Street,53.54541049,-113.4834711,31-Mar-21,0,141
106 Street N of Jasper Avenue,53.54171422,-113.5030261,6-Oct-21,0,96
Gold Bar Trail,53.554767,-113.401458,11-Jan-22,293,39
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,18-Feb-23,173,28
106 Street N of 76 Avenue SB,53.51306,-113.50389,21-Nov-21,0,20
Emily Murphy,53.532383,-113.531662,17-Oct-21,709,0
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,18-Sep-19,184,551
106 Street N of Jasper Avenue,53.54171422,-113.5030261,24-Nov-18,0,45
103 Street N of 100 Avenue,53.53912407,-113.4975386,12-Oct-20,0,52
83 Avenue W 106 Street,53.51911,-113.50441,10-Feb-20,0,219
106 Street N of 76 Avenue NB,53.51304,-113.50381,5-Aug-19,0,212
Queen Elizabeth Park 2,53.52457,-113.49748,7-Jan-22,44,0
MacKinnon Ravine,53.53905,-113.54702,18-Jan-22,21,0
76 Avenue W of 106 Street EB,53.51221,-113.50486,5-Jun-19,0,152
Emily Murphy,53.532383,-113.531662,20-Feb-22,41,0
Queen Elizabeth Park,53.52595,-113.50289,7-Apr-22,66,282
76 Avenue W of 106 Street EB,53.51221,-113.50486,7-Feb-21,0,6
106 Street S of 104 Avenue,53.54519216,-113.5030336,16-Jul-22,0,78
121 Street SUP N of 107 Avenue,53.55131,-113.53093,4-Oct-22,457,452
105 Avenue W of 109 Street,53.54829907,-113.5094746,21-Mar-20,0,64
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,2-Feb-22,21,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,12-Apr-22,0,115
102 Avenue E of 105 Street,53.54297512,-113.5003897,24-Jul-19,0,487
106 Street S of 104 Avenue,53.54519216,-113.5030336,25-Aug-19,0,85
103A Avenue W of 96 Street,53.5473265,-113.4842106,10-Nov-18,488,38
103 Street N of 102 Avenue,53.54360589,-113.4974978,16-Nov-18,0,21
106 Street N of 76 Avenue SB,53.51306,-113.50389,26-Dec-20,0,22
106 Street N of Jasper Avenue,53.54171422,-113.5030261,24-May-20,0,155
127 Street N of 107 Avenue,53.55149,-113.54119,17-Nov-19,0,13
Railtown Park SUP,53.5430264,-113.5102586,27-Nov-18,1024,321
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,28-Dec-21,16,0
121 Street SUP N of 107 Avenue,53.55131,-113.53093,23-Nov-22,245,111
102A Avenue W of 96 Street,53.54541049,-113.4834711,26-Sep-22,0,262
Railtown Park SUP,53.5430264,-113.5102586,19-Oct-19,961,293
106 Street N of 76 Avenue SB,53.51306,-113.50389,10-Mar-22,0,31
MacKinnon Ravine,53.53905,-113.54702,29-Jun-21,563,662
96 Street S of Jasper Ave,53.54312877,-113.4819533,15-May-22,0,41
Sir Wilfrid Laurier Park,53.51167,-113.54897,9-Mar-23,32,0
Funicular @ 100 St,53.539481,-113.488365,29-Jun-22,1157,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,1-Nov-22,0,13
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,2-Apr-20,199,22
102A Avenue W of 96 Street,53.54541049,-113.4834711,7-Apr-19,0,98
High Level Bridge West,53.53277648,-113.5099417,2-Nov-18,334,333
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,29-Jul-19,974,596
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,6-Sep-20,191,345
LRT SUP East of 92 Street,53.55645536,-113.4749465,25-Jan-23,0,61
106 Street N of 76 Avenue NB,53.51304,-113.50381,19-Jul-19,0,135
Rossdale SUP,53.52781,-113.49539,23-Dec-21,401,151
Hermitage South,53.578605,-113.37223,13-Jan-23,54,0
106 Street N of Jasper Avenue,53.54171422,-113.5030261,26-Jun-22,0,111
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,2-May-21,245,296
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,5-Nov-20,45,40
106 Street N of 76 Avenue SB,53.51306,-113.50389,5-Nov-22,0,15
Wedgewood,53.472733,-113.641533,21-Nov-22,108,2
103 Street N of 102 Avenue,53.54360589,-113.4974978,8-Oct-18,0,10
99 Street N of 102A Avenue,53.54537031,-113.4893957,21-Sep-20,0,95
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,12-Jan-22,186,23
83 Avenue W of 99 Street,53.51907,-113.48717,24-Jun-21,0,1278
102 Avenue E of 105 Street,53.54297512,-113.5003897,21-Oct-21,0,238
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,1-Oct-20,181,0
Queen Elizabeth Park 2,53.52457,-113.49748,16-Jul-21,399,0
106 Street N of Jasper Avenue,53.54171422,-113.5030261,29-Dec-21,0,1
Queen Elizabeth Park 2,53.52457,-113.49748,10-Sep-22,902,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,10-Nov-19,0,23
102A Avenue W of 96 Street,53.54541049,-113.4834711,2-Oct-22,0,130
83 Avenue W 106 Street,53.51911,-113.50441,21-Jan-20,0,242
Funicular @ 100 St,53.539481,-113.488365,26-Apr-21,746,0
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,4-Nov-20,413,368
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,7-Aug-21,203,313
106 Street N of 76 Avenue SB,53.51306,-113.50389,14-Mar-20,0,21
102 Avenue E of 121 Street,53.54308,-113.52949,17-Oct-21,0,302
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,10-Nov-21,235,63
East Trails,53.604,-113.31977,1-Aug-21,169,66
103A Avenue W of 96 Street,53.5473265,-113.4842106,28-Sep-21,707,114
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,12-Oct-21,174,207
83 Avenue W of 99 Street,53.51907,-113.48717,13-May-20,0,1122
100 Avenue E of 107 Street,53.53885088,-113.5035117,4-Mar-19,0,87
96 Street S of Jasper Ave,53.54312877,-113.4819533,13-Mar-20,0,6
121 Street SUP N of 107 Avenue,53.55131,-113.53093,21-Oct-22,253,285
83 Avenue W 106 Street,53.51911,-113.50441,26-Jan-21,0,96
Rossdale SUP,53.52781,-113.49539,18-Aug-21,645,274
99 Street N of 102A Avenue,53.54537031,-113.4893957,6-May-22,0,12
Capilano SUP,53.560733,-113.424422,21-Nov-21,190,20
106 Street N of 76 Avenue SB,53.51306,-113.50389,19-Dec-20,0,23
102A Avenue W of 96 Street,53.54541049,-113.4834711,26-Apr-19,0,183
Wedgewood,53.472733,-113.641533,17-Jan-23,71,1
106 Street N of Jasper Avenue,53.54171422,-113.5030261,31-Jan-23,0,51
106 Street N of 76 Avenue SB,53.51306,-113.50389,21-Aug-22,0,236
100 Avenue E of 107 Street,53.53885088,-113.5035117,4-Jan-20,0,50
100 Avenue E of 107 Street,53.53885088,-113.5035117,7-Nov-19,0,153
76 Avenue W of 106 Street EB,53.51221,-113.50486,22-Sep-21,0,191
106 Street N of Jasper Avenue,53.54171422,-113.5030261,21-Feb-19,0,53
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,10-Sep-20,602,359
83 Avenue W of 99 Street,53.51907,-113.48717,29-Dec-22,0,83
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,29-Oct-19,50,0
83 Avenue W of 99 Street,53.51907,-113.48717,15-Sep-21,0,1021
103 Street N of 100 Avenue,53.53912407,-113.4975386,15-Aug-18,0,241
76 Avenue W of 106 Street EB,53.51221,-113.50486,9-Nov-20,0,25
Funicular @ 100 St,53.539481,-113.488365,18-Feb-21,313,0
High Level Bridge West,53.53277648,-113.5099417,11-May-22,819,1076
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,20-Jan-20,244,100
127 Street N of 107 Avenue,53.55149,-113.54119,22-Aug-20,0,146
102A Avenue W of 96 Street,53.54541049,-113.4834711,6-Aug-20,0,248
103A Avenue W of 96 Street,53.5473265,-113.4842106,10-Mar-19,470,16
102A Avenue W of 96 Street,53.54541049,-113.4834711,10-Feb-20,0,77
High Level Bridge East,53.53249552,-113.5095117,9-Jun-19,462,225
High Level Bridge West,53.53277648,-113.5099417,16-Feb-22,218,130
105 Avenue W of 101 Street,53.54767204,-113.4945246,13-Sep-22,498,119
99 Street N of 102A Avenue,53.54537031,-113.4893957,1-Sep-18,0,42
High Level Bridge West,53.53277648,-113.5099417,13-Jul-19,1195,1464
Gold Bar Trail,53.554767,-113.401458,24-Oct-22,184,42
106 Street N of 76 Avenue SB,53.51306,-113.50389,19-Oct-21,0,126
105 Avenue W of 109 Street,53.54829907,-113.5094746,24-Oct-20,0,64
121 Street SUP N of 107 Avenue,53.55131,-113.53093,5-Jun-22,339,309
103A Avenue W of 96 Street,53.5473265,-113.4842106,7-Feb-21,96,4
102 Avenue E of 105 Street,53.54297512,-113.5003897,23-Aug-22,0,650
96 Street S of Jasper Ave,53.54312877,-113.4819533,18-Aug-18,0,9
99 Street N of 102A Avenue,53.54537031,-113.4893957,28-Feb-21,0,31
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,17-Apr-20,156,0
83 Avenue W 106 Street,53.51911,-113.50441,25-Dec-19,0,36
Wedgewood,53.472733,-113.641533,18-Dec-21,41,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,12-Sep-20,0,82
127 Street N of 107 Avenue,53.55149,-113.54119,14-Feb-23,0,32
99 Street N of 102A Avenue,53.54537031,-113.4893957,22-Sep-20,0,99
106 Street N of 76 Avenue NB,53.51304,-113.50381,2-Jul-19,0,235
105 Avenue W of 101 Street,53.54767204,-113.4945246,10-Jan-22,140,13
Buena Vista Bridge,53.52139,-113.54829,8-Oct-21,421,243
Capilano Bridge,53.561355,-113.420088,26-Aug-22,526,0
Railtown Park SUP,53.5430264,-113.5102586,11-Nov-21,583,198
MacKinnon Ravine,53.53905,-113.54702,2-Feb-22,20,86235
High Level Bridge West,53.53277648,-113.5099417,31-Aug-20,1026,1126
High Level Bridge East,53.53249552,-113.5095117,8-Jan-21,254,46
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,2-Feb-20,182,18
LRT SUP East of 92 Street,53.55645536,-113.4749465,17-Oct-19,210,399
83 Avenue W of 99 Street,53.51907,-113.48717,6-Jan-21,0,149
100 Avenue E of 107 Street,53.53885088,-113.5035117,14-Feb-21,0,13
LRT SUP East of 92 Street,53.55645536,-113.4749465,7-Jan-20,75,124
105 Avenue W of 101 Street,53.54767204,-113.4945246,23-Mar-22,156,42
106 Street S of 104 Avenue,53.54519216,-113.5030336,13-Mar-19,0,34
100 Avenue E of 107 Street,53.53885088,-113.5035117,13-Nov-22,0,15
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,17-Jul-19,1330,576
76 Avenue W of 106 Street EB,53.51221,-113.50486,6-Jan-20,0,29
105 Avenue W of 109 Street,53.54829907,-113.5094746,17-Feb-21,0,82
103A Avenue W of 96 Street,53.5473265,-113.4842106,28-Jun-20,301,86
103 Street N of 100 Avenue,53.53912407,-113.4975386,24-Oct-21,0,65
76 Avenue W of 106 Street EB,53.51221,-113.50486,8-Dec-20,0,17
Sir Wilfrid Laurier Park,53.51167,-113.54897,30-Aug-21,358,0
Rossdale SUP,53.52781,-113.49539,18-Aug-19,249,204
99 Street N of 102A Avenue,53.54537031,-113.4893957,21-Oct-18,0,42
96 Street S of Jasper Ave,53.54312877,-113.4819533,10-Mar-22,0,3
76 Avenue W of 106 Street WB,53.51234,-113.50485,10-Jun-19,0,143
Funicular @ 100 St,53.539481,-113.488365,6-Oct-21,715,0
Emily Murphy,53.532383,-113.531662,23-Aug-22,460,0
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,7-Nov-18,75,144
102 Avenue E of 105 Street,53.54297512,-113.5003897,9-Feb-19,0,11
102 Avenue E of 121 Street,53.54308,-113.52949,11-Feb-21,0,30
High Level Bridge East,53.53249552,-113.5095117,4-Sep-19,587,470
106 Street N of 76 Avenue NB,53.51304,-113.50381,13-Feb-22,0,12
102 Avenue E of 121 Street,53.54308,-113.52949,2-Aug-20,0,873
Whitemud Ravine Boardwalk,53.476847,-113.555595,6-May-21,810,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,11-Mar-19,0,5
105 Avenue W of 101 Street,53.54767204,-113.4945246,12-Jan-20,66,7
103 Street N of 100 Avenue,53.53912407,-113.4975386,22-Sep-20,0,162
106 Street N of 76 Avenue NB,53.51304,-113.50381,25-Oct-19,0,111
102A Avenue W of 96 Street,53.54541049,-113.4834711,21-Aug-19,0,339
Rossdale SUP,53.52781,-113.49539,12-Apr-21,386,138
103 Street N of 102 Avenue,53.54360589,-113.4974978,9-Nov-20,0,46
121 Street SUP N of 107 Avenue,53.55131,-113.53093,29-May-20,437,394
100 Avenue E of 107 Street,53.53885088,-113.5035117,5-Mar-21,0,132
83 Avenue W of 99 Street,53.51907,-113.48717,15-Sep-19,0,713
Buena Vista Bridge,53.52139,-113.54829,7-Mar-23,0,0
83 Avenue W of 99 Street,53.51907,-113.48717,26-Jun-19,0,753
Railtown Park SUP,53.5430264,-113.5102586,26-Oct-20,682,247
76 Avenue W of 106 Street WB,53.51234,-113.50485,14-Jun-19,0,140
103 Street N of 102 Avenue,53.54360589,-113.4974978,20-Aug-18,0,245
102 Avenue E of 121 Street,53.54308,-113.52949,24-Feb-23,0,54
Rossdale SUP,53.52781,-113.49539,17-Sep-19,249,201
100 Avenue E of 107 Street,53.53885088,-113.5035117,14-Feb-23,0,98
Capilano SUP,53.560733,-113.424422,2-May-22,253,208
Railtown Park SUP,53.5430264,-113.5102586,14-Jan-21,562,113
103A Avenue W of 96 Street,53.5473265,-113.4842106,2-Jan-23,400,20
103 Street N of 100 Avenue,53.53912407,-113.4975386,21-Jun-22,0,8
High Level Bridge West,53.53277648,-113.5099417,3-Sep-21,1378,1296
106 Street N of 76 Avenue SB,53.51306,-113.50389,3-May-20,0,131
LRT SUP East of 92 Street,53.55645536,-113.4749465,22-Dec-19,82,96
Buena Vista Bridge,53.52139,-113.54829,27-Dec-22,305,25
102 Avenue E of 105 Street,53.54297512,-113.5003897,12-Dec-21,0,27
83 Avenue W of 99 Street,53.51907,-113.48717,19-Jan-20,0,35
Rossdale SUP,53.52781,-113.49539,23-Jan-21,184,13
106 Street S of 104 Avenue,53.54519216,-113.5030336,8-Nov-19,0,39
LRT SUP East of 92 Street,53.55645536,-113.4749465,10-Aug-21,192,302
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,19-Oct-19,223,0
106 Street N of Jasper Avenue,53.54171422,-113.5030261,18-May-19,0,82
121 Street SUP N of 107 Avenue,53.55131,-113.53093,8-Nov-20,136,27
102A Avenue W of 96 Street,53.54541049,-113.4834711,30-Apr-22,0,109
Emily Murphy,53.532383,-113.531662,31-Oct-22,175,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,7-Oct-22,0,24
99 Street N of 102A Avenue,53.54537031,-113.4893957,14-Jan-22,0,8
76 Avenue W of 106 Street EB,53.51221,-113.50486,1-Mar-23,0,26
106 Street N of 76 Avenue NB,53.51304,-113.50381,2-Mar-20,0,58
83 Avenue W 106 Street,53.51911,-113.50441,19-Oct-20,0,340
106 Street S of 104 Avenue,53.54519216,-113.5030336,6-Apr-22,0,47
High Level Bridge East,53.53249552,-113.5095117,20-Feb-19,159,80
103 Street N of 100 Avenue,53.53912407,-113.4975386,21-Nov-22,0,22
106 Street N of 76 Avenue NB,53.51304,-113.50381,30-Jun-21,0,157
Funicular @ 100 St,53.539481,-113.488365,11-Dec-22,165,0
106 Street N of 76 Avenue SB,53.51306,-113.50389,5-Mar-21,0,74
76 Avenue W of 106 Street WB,53.51234,-113.50485,24-Sep-21,0,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,25-May-22,0,261
106 Street N of 76 Avenue NB,53.51304,-113.50381,18-Nov-22,0,51
105 Avenue W of 101 Street,53.54767204,-113.4945246,16-Apr-20,94,33
99 Street N of 102A Avenue,53.54537031,-113.4893957,5-May-20,0,60
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,13-Oct-21,100,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,16-Dec-20,0,26
100 Avenue E of 107 Street,53.53885088,-113.5035117,25-Oct-20,0,68
102 Avenue E of 105 Street,53.54297512,-113.5003897,7-Apr-20,0,67
76 Avenue W of 106 Street WB,53.51234,-113.50485,29-Oct-19,0,48
LRT SUP East of 92 Street,53.55645536,-113.4749465,2-Nov-20,86,205
High Level Bridge West,53.53277648,-113.5099417,14-Feb-19,234,180
East Trails,53.604,-113.31977,27-Jan-22,3,16
106 Street N of 76 Avenue SB,53.51306,-113.50389,6-Jan-22,0,12
Buena Vista Bridge,53.52139,-113.54829,4-Jun-21,427,587
102A Avenue W of 96 Street,53.54541049,-113.4834711,9-Mar-19,0,17
103 Street N of 100 Avenue,53.53912407,-113.4975386,15-May-19,0,99
106 Street N of 76 Avenue NB,53.51304,-113.50381,6-Feb-20,0,38
83 Avenue W of 99 Street,53.51907,-113.48717,3-Oct-21,0,582
106 Street S of 104 Avenue,53.54519216,-113.5030336,2-Nov-20,0,83
Whitemud Ravine Boardwalk,53.476847,-113.555595,14-Aug-22,803,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,9-Jul-22,0,120
High Level Bridge East,53.53249552,-113.5095117,6-Apr-19,209,63
100 Avenue E of 107 Street,53.53885088,-113.5035117,30-Oct-18,0,386
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,29-Dec-22,135,37
Railtown Park SUP,53.5430264,-113.5102586,15-Nov-19,1041,258
102A Avenue W of 96 Street,53.54541049,-113.4834711,7-Nov-20,0,26
76 Avenue W of 106 Street WB,53.51234,-113.50485,27-Jun-22,0,133
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,16-Jul-20,151,0
Queen Elizabeth Park 2,53.52457,-113.49748,30-Aug-21,512,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,1-Sep-21,165,0
Funicular @ 100 St,53.539481,-113.488365,8-Sep-20,651,0
Hermitage South,53.578605,-113.37223,12-Mar-22,336,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,24-Feb-23,0,11
Capilano Bridge,53.561355,-113.420088,28-Oct-21,109,0
Funicular @ 100 St,53.539481,-113.488365,23-Jan-22,235,0
Funicular @ 100 St,53.539481,-113.488365,9-Jan-20,286,0
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,8-Sep-22,110,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,6-Apr-21,0,348
102A Avenue W of 96 Street,53.54541049,-113.4834711,14-Jun-20,0,132
Railtown Park SUP,53.5430264,-113.5102586,13-Jan-20,571,131
106 Street N of Jasper Avenue,53.54171422,-113.5030261,24-Jun-20,0,123
MacKinnon Ravine,53.53905,-113.54702,3-Mar-23,51,179
106 Street N of Jasper Avenue,53.54171422,-113.5030261,14-Jan-23,0,8
96 Street S of Jasper Ave,53.54312877,-113.4819533,30-Mar-19,0,18
100 Avenue E of 107 Street,53.53885088,-113.5035117,2-Dec-22,0,1
Railtown Park SUP,53.5430264,-113.5102586,24-May-20,818,665
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,21-Aug-20,271,653
102 Avenue E of 105 Street,53.54297512,-113.5003897,3-Mar-20,0,219
Wedgewood,53.472733,-113.641533,29-Oct-22,200,11
Queen Elizabeth Park,53.52595,-113.50289,9-Feb-22,15,109
102A Avenue W of 96 Street,53.54541049,-113.4834711,18-Sep-21,0,161
Rossdale SUP,53.52781,-113.49539,27-Aug-22,390,140
121 Street SUP N of 107 Avenue,53.55131,-113.53093,31-Aug-21,244,269
106 Street S of 104 Avenue,53.54519216,-113.5030336,11-Jun-20,0,129
106 Street N of 76 Avenue SB,53.51306,-113.50389,23-Apr-20,0,163
Railtown Park SUP,53.5430264,-113.5102586,6-Feb-22,488,49
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,24-Sep-20,228,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,23-Sep-21,0,82
Rossdale SUP,53.52781,-113.49539,30-Aug-21,493,331
106 Street N of 76 Avenue SB,53.51306,-113.50389,9-Feb-21,0,14
83 Avenue W of 99 Street,53.51907,-113.48717,28-Jan-20,0,271
Buena Vista Bridge,53.52139,-113.54829,3-Nov-22,167,28
103 Street N of 102 Avenue,53.54360589,-113.4974978,30-Dec-19,0,36
127 Street N of 107 Avenue,53.55149,-113.54119,20-Aug-19,0,316
99 Street N of 102A Avenue,53.54537031,-113.4893957,22-May-19,0,192
High Level Bridge East,53.53249552,-113.5095117,8-Apr-21,313,129
127 Street N of 107 Avenue,53.55149,-113.54119,29-Nov-22,0,27
Funicular @ 100 St,53.539481,-113.488365,12-Dec-22,197,0
LRT SUP East of 92 Street,53.55645536,-113.4749465,4-Jul-20,135,193
127 Street N of 107 Avenue,53.55149,-113.54119,11-Oct-20,0,57
105 Avenue W of 101 Street,53.54767204,-113.4945246,29-Jan-22,150,7
LRT SUP East of 92 Street,53.55645536,-113.4749465,11-Jun-21,1318,230
Wedgewood,53.472733,-113.641533,4-Mar-23,128,4
LRT SUP East of 92 Street,53.55645536,-113.4749465,3-Jul-20,189,258
102A Avenue W of 96 Street,53.54541049,-113.4834711,19-Aug-21,0,188
High Level Bridge West,53.53277648,-113.5099417,16-May-20,1708,1877
MacKinnon Ravine,53.53905,-113.54702,19-Feb-23,33,257
Wedgewood,53.472733,-113.641533,17-Nov-22,79,3
Rossdale SUP,53.52781,-113.49539,14-Oct-22,307,128
106 Street N of 76 Avenue SB,53.51306,-113.50389,27-Jan-23,0,28
Rossdale SUP,53.52781,-113.49539,12-May-21,1010,420
106 Street N of Jasper Avenue,53.54171422,-113.5030261,11-Jul-22,0,248
102A Avenue W of 96 Street,53.54541049,-113.4834711,7-Feb-20,0,73
106 Street N of 76 Avenue SB,53.51306,-113.50389,18-Jan-22,0,14
MacKinnon Ravine,53.53905,-113.54702,30-Jul-21,665,488
Funicular @ 100 St,53.539481,-113.488365,11-Sep-22,1151,0
Railtown Park SUP,53.5430264,-113.5102586,11-Jun-22,942,541
99 Street N of 102A Avenue,53.54537031,-113.4893957,16-Sep-19,0,180
103A Avenue W of 96 Street,53.5473265,-113.4842106,14-Apr-22,647,46
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,14-Sep-22,174,594
Rossdale SUP,53.52781,-113.49539,29-Apr-21,410,322
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,22-Feb-20,254,14
103A Avenue W of 96 Street,53.5473265,-113.4842106,20-Nov-19,1131,70
103 Street N of 100 Avenue,53.53912407,-113.4975386,23-Sep-19,0,237
